person_id,arrest_id_current,age_at_arrest,sex,race,arrest_date_current,y,current_charge_felony,num_fel_arrests_last_year
1347085,3221808,35.605479452054794,M,Black,2018-08-06,0,1,0
1805696,7349807,29.40821917808219,F,White,2016-03-15,0,0,0
78820,4003633,34.16164383561644,F,White,2018-04-03,0,0,0
1643235,6097506,24.534246575342465,M,White,2017-02-18,0,0,0
1499680,7464288,24.887671232876713,F,Black,2016-02-15,0,0,0
3198323,6743620,19.964383561643835,M,White,2016-08-15,0,0,0
1462612,7454785,28.83835616438356,M,White,2016-02-17,0,0,0
24916,5675336,18.75068493150685,M,Black,2017-06-06,1,0,0
84199,7563283,22.12054794520548,M,Black,2016-01-14,0,0,0
974497,4078592,26.5013698630137,M,Black,2018-04-01,0,1,0
555796,5921226,39.95068493150685,M,Black,2017-04-06,0,0,0
301613,5513065,20.295890410958904,M,Black,2017-07-13,0,0,0
35652,5268378,39.21369863013699,F,White,2017-08-31,0,0,0
106675,6671035,23.64109589041096,M,Black,2016-09-05,0,0,0
1134813,5928260,19.339726027397266,M,Black,2017-04-04,1,1,2
1058804,6215258,38.893150684931506,M,White,2017-01-20,0,1,0
26679,6916481,31.117808219178084,M,Black,2016-06-25,0,0,2
1475717,3193787,33.11232876712329,F,White,2018-08-10,0,0,1
1779141,7500144,61.42191780821918,M,White,2016-02-05,0,0,0
209421,6781573,55.67945205479453,M,Black,2016-08-04,0,0,0
358578,2511968,38.64109589041096,M,,2018-12-19,0,1,1
9523,3126179,27.695890410958903,M,Black,2018-08-26,0,1,0
14260,12005344,19.30958904109589,M,,2018-01-15,0,0,0
1289480,5232571,43.964383561643835,F,White,2017-09-07,0,0,0
2572349,3411394,39.00821917808219,F,White,2018-07-18,0,0,0
1052139,6537189,48.367123287671234,M,White,2016-10-14,0,0,0
1307719,3086994,22.101369863013694,M,Black,2018-09-03,1,1,0
2584613,7226797,51.273972602739725,M,White,2016-04-16,0,0,0
38602,6235576,43.96986301369863,M,Black,2017-01-14,0,0,0
997983,7587118,42.21917808219178,M,White,2016-01-07,0,1,1
539354,4818638,51.27945205479452,M,Black,2017-11-15,0,0,0
1655864,6226104,48.87945205479452,M,White,2017-01-18,0,0,0
27924,6822812,20.48219178082192,M,White,2016-07-21,1,0,0
1575015,4801231,18.983561643835618,M,Black,2017-11-17,0,0,0
509811,6917238,51.64109589041096,F,White,2016-06-24,0,0,0
51530,2916797,32.6958904109589,F,Black,2018-10-03,0,1,1
3185585,6326198,50.45205479452055,M,Black,2016-12-17,0,0,0
343162,4129776,28.81917808219178,M,Black,2018-03-24,0,0,0
198393,5083273,27.682191780821917,M,Black,2017-10-02,0,1,0
44850,3778372,22.284931506849315,M,Black,2018-05-11,0,0,0
3352613,6944236,18.4027397260274,M,Black,2016-06-16,0,0,0
27558,4448872,37.512328767123286,M,Black,2018-01-25,0,0,0
404843,3550258,32.032876712328765,M,mixed,2018-06-23,0,0,0
1675740,6147642,34.961643835616435,M,White,2017-02-07,0,0,0
27249,6478529,22.87945205479452,M,Black,2016-11-01,0,0,0
2740186,6485644,48.3013698630137,M,Black,2016-10-30,0,0,0
2129116,6725485,24.04931506849315,F,Black,2016-08-19,0,0,0
706551,4991918,40.465753424657535,M,White,2017-10-18,0,1,0
79198,3433327,28.265753424657536,M,White,2018-07-15,1,1,1
990237,4452127,21.10958904109589,F,Black,2018-01-24,0,0,0
993769,6974579,55.4027397260274,M,Black,2016-06-07,0,0,0
33016,6443817,28.084931506849315,F,mixed,2016-11-13,0,0,0
1672423,2496068,23.72328767123288,M,White,2018-12-23,0,0,0
1134876,7162955,42.97808219178082,M,Black,2016-05-04,1,0,0
43925,6954720,19.446575342465753,M,White,2016-06-14,1,1,0
884830,3249757,26.75068493150685,M,Black,2018-07-31,0,0,0
79024,6759183,37.75616438356165,M,Black,2016-08-10,0,0,0
1171048,3774134,32.556164383561644,F,Black,2018-05-13,0,0,0
3178940,6922904,24.65205479452055,M,Black,2016-06-23,0,0,0
80009,6688760,32.86027397260274,M,,2016-08-30,1,1,3
265085,3232676,43.104109589041094,M,Black,2018-08-03,0,0,0
995275,6390045,45.11506849315069,M,mixed,2016-11-23,0,0,0
344219,2471357,34.32876712328767,F,White,2018-12-29,0,0,0
982966,6970994,28.26027397260274,M,Black,2016-06-08,0,0,0
883298,5502020,18.54794520547945,M,White,2017-07-16,0,0,0
50827,5665899,21.778082191780825,M,Black,2017-06-08,1,1,0
1571572,5014551,39.394520547945206,F,Black,2017-10-14,0,0,0
542158,6837789,31.87945205479452,M,mixed,2016-07-16,0,0,0
1688253,6946113,33.14246575342466,M,White,2016-06-15,0,0,0
1065031,4549790,33.85753424657534,M,White,2018-01-06,0,1,0
14773,6072762,28.04383561643836,M,White,2017-02-25,0,1,0
1713630,5180076,23.065753424657533,M,White,2017-09-14,0,0,0
11936,7158353,60.92602739726028,M,Black,2016-05-05,1,0,0
92254,4354694,25.13150684931507,M,Black,2018-02-11,0,0,0
54289,7266260,51.58082191780822,M,,2016-04-06,0,0,0
58583,3982258,27.813698630136987,M,Black,2018-04-07,1,1,1
416390,6349926,17.438356164383563,M,Black,2016-12-12,1,0,0
2757019,7477228,20.542465753424658,M,White,2016-02-10,0,0,0
80568,6577689,38.68219178082192,M,Black,2016-10-01,1,1,0
82277,7591971,30.315068493150687,M,Black,2016-01-06,1,1,0
12352,4334398,19.084931506849315,M,Black,2018-02-14,1,1,1
173473,7552078,50.16712328767123,M,Black,2016-01-16,0,0,0
2497431,6192743,18.84931506849315,M,Black,2017-01-27,1,1,1
1006048,5435754,27.019178082191782,F,Black,2017-07-29,0,0,0
2745399,5242551,50.73424657534247,F,White,2017-09-05,0,0,0
26258,4367944,22.027397260273972,M,Black,2018-02-08,0,0,0
53858,6792133,29.106849315068494,M,mixed,2016-08-01,0,0,0
266457,5222987,46.55890410958904,M,Black,2017-09-10,0,1,0
3576545,3447120,59.85753424657534,M,,2018-07-12,0,0,0
911946,6339294,31.46027397260274,M,Black,2016-12-13,0,0,0
85446,6604737,18.117808219178084,M,Black,2016-09-22,1,1,0
1806016,5290353,22.063013698630137,M,White,2017-08-27,0,1,0
62147,7292958,20.78082191780822,M,Black,2016-03-30,1,1,0
122092,2547343,45.96986301369863,M,mixed,2018-12-13,0,0,0
351066,6956199,32.8054794520548,M,White,2016-06-13,0,1,0
1000343,3895575,22.04931506849315,F,Black,2018-04-20,0,0,2
637495,4521188,23.410958904109588,M,Black,2018-01-12,1,1,0
60273,7509640,21.564383561643837,F,Black,2016-02-02,0,0,0
1799436,5754726,21.36712328767123,M,White,2017-05-19,0,1,0
961819,4667298,38.298630136986304,M,Black,2017-12-10,0,0,0
3515003,6870397,50.06301369863014,M,mixed,2016-07-07,0,0,0
1064456,2953487,26.27123287671233,M,Black,2018-09-26,0,0,0
1644761,6725214,18.775342465753425,M,White,2016-08-20,0,0,0
4741,4609251,33.49589041095891,M,White,2017-12-21,1,0,1
1790946,7197240,51.27945205479452,M,White,2016-04-25,0,0,0
709462,6798949,43.88767123287671,M,Black,2016-07-29,0,0,0
230874,5698616,39.18630136986302,M,mixed,2017-05-31,0,0,0
3359578,3506084,20.778082191780825,M,Black,2018-07-03,0,0,0
1802254,6027429,24.63287671232877,F,White,2017-03-09,0,0,0
1039827,3839724,22.438356164383563,M,Black,2018-05-01,0,0,0
57265,5435848,31.40821917808219,M,Black,2017-07-29,1,1,0
98350,4251991,53.772602739726025,M,Black,2018-03-02,0,0,0
1063563,4827776,30.816438356164383,M,White,2017-11-13,0,0,0
540719,6561693,19.350684931506848,M,Black,2016-10-06,0,1,0
995723,6665503,50.45753424657534,M,Black,2016-09-06,0,0,0
16944,3471309,39.66849315068493,M,White,2018-07-09,0,0,0
25523,5666449,29.742465753424657,M,Black,2017-06-08,0,0,0
92636,5155920,56.054794520547944,M,Black,2017-09-19,0,0,0
67140,5670555,29.33150684931507,M,Black,2017-06-07,1,0,0
145687,6183350,38.347945205479455,M,Asian,2017-01-30,0,0,0
1499514,3892526,37.345205479452055,F,Asian,2018-04-21,0,0,0
3359933,4513810,41.71232876712329,M,White,2018-01-14,0,0,0
114124,6060715,55.07671232876712,M,Black,2017-03-01,0,0,0
82486,5256465,25.63013698630137,M,Black,2017-09-01,1,0,0
1644444,4599258,26.8,M,White,2017-12-24,0,0,0
27836,6766557,36.69041095890411,M,White,2016-08-09,0,0,0
15930,4079940,26.504109589041096,M,Black,2018-03-31,0,0,0
1710539,5374331,57.172602739726024,M,White,2017-08-10,0,0,0
1985162,4328012,36.55342465753424,M,White,2018-02-15,0,0,0
24391,5319741,32.3013698630137,M,Black,2017-08-21,0,0,0
57529,7224958,25.564383561643837,M,Black,2016-04-17,1,0,3
3357315,5592644,19.93972602739726,M,White,2017-06-26,0,0,0
1407719,4860301,56.50684931506849,M,White,2017-11-07,0,0,0
83874,4159297,24.51506849315069,F,Black,2018-03-19,0,0,0
1124386,6928740,19.561643835616437,M,Black,2016-06-21,1,1,0
1804725,5564862,25.945205479452056,M,White,2017-07-02,0,0,0
2871550,3732305,54.35342465753425,M,White,2018-05-21,0,0,0
746888,4981381,47.06575342465754,F,Black,2017-10-20,0,0,0
2455042,5469978,51.64657534246575,M,Black,2017-07-24,0,0,0
85529,6161824,19.575342465753423,M,Black,2017-02-04,0,0,0
311707,6106630,35.1945205479452,M,Black,2017-02-16,0,0,0
